,vm_a_pu,va_a_degree,vm_b_pu,va_b_degree,vm_c_pu,va_c_degree,p_a_mw,q_a_mvar,p_b_mw,q_b_mvar,p_c_mw,q_c_mvar,unbalance_percent
0,1.0500941346373538,-0.0019692833277055056,1.0499216781158849,-120.00346399733668,1.0499841945068218,120.00543328061924,-0.01936277953624766,0.0004773702336002896,-0.02016734717278221,-0.0025932146896495267,-0.017104638450082976,-0.0017600103939849983,0.00960152235188381
1,1.0947174200413865,-24.936358766973388,0.9430491005942423,-151.06182980519245,1.1187067971532598,85.53245636558454,0.0,0.0,0.0,0.0,0.0,0.0,0.03456181954607471
2,1.0920642616873124,-24.910165295898373,0.9401358051472858,-151.03836569543722,1.1165438372132062,85.55073340821062,0.0,0.0,0.0,0.0,0.0,0.0,0.050203924029745155
3,1.0917712607182342,-24.906072168766702,0.9401591140478184,-151.0427538864845,1.1165911071573953,85.55376563979937,0.0,0.0,0.0,0.0,0.0,0.0,0.045431641662058236
4,1.0907811711830535,-24.89752641914365,0.9384333343756511,-151.02114175622964,1.1152574945251017,85.55874549997603,0.0,0.0,0.0,0.0,0.0,0.0,0.06674302004038116
5,1.0916384987966739,-24.904216640317898,0.9401696772692505,-151.04474208396655,1.1166125270796419,85.55513961917715,0.001,0.000328684105179,0.0,0.0,0.0,0.0,0.04349480046059166
6,1.0908505419635548,-24.894909574296868,0.9381026427956404,-151.01576751135818,1.1152799408002754,85.55451147509856,0.0,0.0,0.0,0.0,0.0,0.0,0.07469075970533268
7,1.0908878086734939,-24.893503816352357,0.9379249980304839,-151.01287877446342,1.1152920014300618,85.55223714511708,0.0,0.0,0.001,0.000328684105179,0.0,0.0,0.07898199688106675
8,1.088533309739954,-24.88017201419816,0.9360644091912455,-150.99790828124077,1.11306630852448,85.57825039217589,0.0,0.0,0.0,0.0,0.0,0.0,0.08345789090013221
9,1.0881221767853635,-24.874409625886706,0.9360971004442216,-151.00409265349086,1.1131326325626199,85.5825186830002,0.0,0.0,0.0,0.0,0.0,0.0,0.07807691992397224
10,1.091603863492249,-24.903732586938418,0.9401724335744307,-151.04526077171778,1.1166181149714414,85.5554980477485,0.001,0.000328684105179,0.0,0.0,0.0,0.0,0.04301642958587248
11,1.0880216987725368,-24.873000584556504,0.9361050916665177,-151.00560396652884,1.1131488428608973,85.58356183386238,0.001,0.00032868410517900004,0.0,0.0,0.0,0.0,0.0769104582042839
12,1.0880216987725368,-24.873000584556504,0.9361050916665177,-151.0056039665289,1.1131488428608975,85.58356183386238,0.001,0.00032868410517899994,0.0,0.0,0.0,0.0,0.07691045820428388
13,1.0908895745596867,-24.89343720448765,0.9379165800791611,-151.01274189188877,1.1152925730912802,85.55212937207953,0.0,0.0,0.001,0.000328684105179,0.0,0.0,0.07918566299312872
14,1.087376053537141,-24.871868515710126,0.9345444310903014,-150.97929913017236,1.111640651400846,85.58788104993658,0.0,0.0,0.0,0.0,0.0,0.0,0.0974610000569264
15,1.0866378695579149,-24.867473233866935,0.9338079835808112,-150.97106862235123,1.110837643551549,85.59541067444262,0.0,0.0,0.0,0.0,0.0,0.0,0.10177321162247957
16,1.0866323665705775,-24.867521318173218,0.9337883027948112,-150.97139795001442,1.110831272136954,85.59516067207929,0.0,0.0,0.0,0.0,0.0,0.0,0.10212752072631162
17,1.0866475564814726,-24.86728229063925,0.9337091948017214,-150.97221433475082,1.1108022834831148,85.59384872094802,0.0,0.0,0.0,0.0,0.0,0.0,0.10356888744531553
18,1.0866486348908941,-24.86770040927558,0.9337149670541774,-150.9718744970004,1.1107661309007721,85.59343620227449,0.0,0.0,0.0,0.0,0.0,0.0,0.10288390010401599
19,1.0873641151673816,-24.872116525910112,0.9344418141286082,-150.98067442626635,1.111588800097643,85.58622027867985,0.0,0.0,0.0,0.0,0.0,0.0,0.09904763985394274
20,1.087348715204227,-24.87257265618342,0.9343881726913854,-150.9813882905295,1.1115428078601215,85.58517364082876,0.0,0.0,0.0,0.0,0.0,0.0,0.09957841861054227
21,1.087476857944194,-24.867848118935495,0.9339042733285392,-150.9718996131302,1.1116253214540637,85.57931550380542,0.0,0.0,0.001,0.00032868410517900004,0.0,0.0,0.11210956085610173
22,1.0873549570264893,-24.88082912717921,0.934511081684442,-150.97542008930404,1.1109357315376205,85.59350166790782,0.0,0.0,0.0,0.0,0.0,0.0,0.09737597185072114
23,1.08732915117969,-24.87237391852068,0.9343165378723699,-150.98279663549067,1.111552508419133,85.58468426241316,0.0,0.0,0.0,0.0,0.0,0.0,0.10137656817663142
24,1.0873356184348282,-24.8720760599287,0.9342777192851394,-150.98332342430476,1.1115555467368763,85.58427005069868,0.0,0.0,0.0,0.0,0.0,0.0,0.10235140446587204
25,1.0873566935153303,-24.883121639785973,0.9345452140756361,-150.97376287827146,1.1107671563916988,85.5958161527637,0.0,0.0,0.0,0.0,0.001,0.000328684105179,0.09717223012973317
26,1.0868691785629097,-24.8659194668737,0.9343530979614996,-150.98972915236908,1.1116267111696287,85.58946588569417,0.001,0.00032868410517899994,0.0,0.0,0.0,0.0,0.09484531903515775
