,scenario,bus_idx,phase,installed_kW,violation
0,EV_bus_5_iter_0,5,B,4.853479685396422,Overvoltage
1,EV_bus_5_iter_1,5,B,3.54563341146087,Overvoltage
2,EV_bus_5_iter_2,5,A,3.377865815107035,Overvoltage
3,EV_bus_5_iter_3,5,A,1.0681422731933838,Overvoltage
4,EV_bus_5_iter_4,5,A,3.356828939587606,Overvoltage
5,EV_bus_5_iter_5,5,A,1.8452668073077638,Overvoltage
6,EV_bus_5_iter_6,5,C,2.607533952644468,Overvoltage
7,EV_bus_5_iter_7,5,A,4.2175088153953,Overvoltage
8,EV_bus_5_iter_8,5,B,1.2957709294203803,Overvoltage
9,EV_bus_5_iter_9,5,B,3.8114476991132933,Overvoltage
10,EV_bus_5_iter_10,5,C,2.4356663720966396,Overvoltage
11,EV_bus_5_iter_11,5,B,4.684803001965301,Overvoltage
12,EV_bus_5_iter_12,5,A,4.681115819493922,Overvoltage
13,EV_bus_5_iter_13,5,A,3.0452381992087663,Overvoltage
14,EV_bus_5_iter_14,5,A,4.731894700586949,Overvoltage
15,EV_bus_5_iter_15,5,A,4.14855112909645,Overvoltage
16,EV_bus_5_iter_16,5,B,1.5944628299039336,Overvoltage
17,EV_bus_5_iter_17,5,C,4.6639420139298355,Overvoltage
18,EV_bus_5_iter_18,5,C,3.5228294464128056,Overvoltage
19,EV_bus_5_iter_19,5,B,2.502977880492965,Overvoltage
20,EV_bus_5_iter_20,5,B,4.310557176426891,Overvoltage
21,EV_bus_5_iter_21,5,B,3.076562428623005,Overvoltage
22,EV_bus_5_iter_22,5,A,3.46537027998336,Overvoltage
23,EV_bus_5_iter_23,5,C,4.94847258921291,Overvoltage
24,EV_bus_5_iter_24,5,C,3.054715399280808,Overvoltage
25,EV_bus_5_iter_25,5,C,2.7430070874361494,Overvoltage
26,EV_bus_5_iter_26,5,A,2.74202312619489,Overvoltage
27,EV_bus_5_iter_27,5,C,2.33149324525709,Overvoltage
28,EV_bus_5_iter_28,5,A,1.201859701320744,Overvoltage
29,EV_bus_5_iter_29,5,A,4.3802795710351665,Overvoltage
30,EV_bus_5_iter_30,5,A,3.0816918002243465,Overvoltage
31,EV_bus_5_iter_31,5,C,3.5134760791903075,Overvoltage
32,EV_bus_5_iter_32,5,A,1.7437366007637953,Overvoltage
33,EV_bus_5_iter_33,5,C,3.8415202782834195,Overvoltage
34,EV_bus_5_iter_34,5,A,3.573926567787207,Overvoltage
35,EV_bus_5_iter_35,5,C,3.5753164491245046,Overvoltage
36,EV_bus_5_iter_36,5,C,3.3800408181100967,Overvoltage
37,EV_bus_5_iter_37,5,B,3.8963863991084624,Overvoltage
38,EV_bus_5_iter_38,5,A,1.8729787639133715,Overvoltage
39,EV_bus_5_iter_39,5,C,3.1755639025878977,Overvoltage
40,EV_bus_5_iter_40,5,B,2.8774780375549533,Overvoltage
41,EV_bus_5_iter_41,5,B,1.1210782131834525,Overvoltage
42,EV_bus_5_iter_42,5,C,1.4170478005829015,Overvoltage
43,EV_bus_5_iter_43,5,A,3.126883781476024,Overvoltage
44,EV_bus_5_iter_44,5,A,3.6965900238839864,Overvoltage
45,EV_bus_5_iter_45,5,B,1.434162521274689,Overvoltage
46,EV_bus_5_iter_46,5,A,2.740823512092518,Overvoltage
47,EV_bus_5_iter_47,5,A,2.830033125827101,Overvoltage
48,EV_bus_5_iter_48,5,A,4.429058944203715,Overvoltage
49,EV_bus_5_iter_49,5,B,4.376894899505849,Overvoltage
50,EV_bus_7_iter_0,7,A,2.496357056833697,Overvoltage
51,EV_bus_7_iter_1,7,A,1.5576199190575233,Overvoltage
52,EV_bus_7_iter_2,7,C,1.4440588047600924,Overvoltage
53,EV_bus_7_iter_3,7,A,3.741484497203449,Overvoltage
54,EV_bus_7_iter_4,7,B,1.63378091731748,Overvoltage
55,EV_bus_7_iter_5,7,A,2.616957709160376,Overvoltage
56,EV_bus_7_iter_6,7,B,2.517888125811923,Overvoltage
57,EV_bus_7_iter_7,7,C,1.643856569090457,Overvoltage
58,EV_bus_7_iter_8,7,B,2.9873777971333615,Overvoltage
59,EV_bus_7_iter_9,7,B,3.473043457945979,Overvoltage
