,scenario,bus_idx,phase,installed_kW,num_injections,violation
0,EV_bus_95_iter_0,95,B,1.8261926030841398,1,Overvoltage
1,EV_bus_95_iter_1,95,C,3.0962908530263857,1,Overvoltage
2,EV_bus_95_iter_2,95,C,3.516741780988061,1,Overvoltage
3,EV_bus_95_iter_3,95,B,2.252620251562016,1,Overvoltage
4,EV_bus_95_iter_4,95,C,4.769930303320837,1,Overvoltage
5,EV_bus_95_iter_5,95,B,1.9179710697270793,1,Overvoltage
6,EV_bus_95_iter_6,95,C,2.295808833802454,1,Overvoltage
7,EV_bus_95_iter_7,95,A,4.972445078583372,1,Overvoltage
8,EV_bus_95_iter_8,95,C,1.2372898908489414,1,Overvoltage
9,EV_bus_95_iter_9,95,B,2.562447832716968,1,Overvoltage
10,EV_bus_95_iter_10,95,A,3.8060168515428128,1,Overvoltage
11,EV_bus_95_iter_11,95,C,1.5327943076291142,1,Overvoltage
12,EV_bus_95_iter_12,95,C,2.9003880864129647,1,Overvoltage
13,EV_bus_95_iter_13,95,C,3.2750672167608936,1,Overvoltage
14,EV_bus_95_iter_14,95,B,1.8406084098933642,1,Overvoltage
15,EV_bus_95_iter_15,95,B,4.682468440670737,1,Overvoltage
16,EV_bus_95_iter_16,95,B,4.613736380807893,1,Overvoltage
17,EV_bus_95_iter_17,95,B,3.49848632327759,1,Overvoltage
18,EV_bus_95_iter_18,95,B,2.660583707294726,1,Overvoltage
19,EV_bus_95_iter_19,95,A,4.396524567654989,1,Overvoltage
20,EV_bus_95_iter_20,95,A,1.1609120378718432,1,Overvoltage
21,EV_bus_95_iter_21,95,B,1.5587530728598926,1,Overvoltage
22,EV_bus_95_iter_22,95,B,2.1647020281087532,1,Overvoltage
23,EV_bus_95_iter_23,95,B,2.0006609228051726,1,Overvoltage
24,EV_bus_95_iter_24,95,A,4.758506863994951,1,Overvoltage
25,EV_bus_95_iter_25,95,B,3.358104024420765,1,Overvoltage
26,EV_bus_95_iter_26,95,A,4.9930632907729375,1,Overvoltage
27,EV_bus_95_iter_27,95,C,3.5378692547893826,1,Overvoltage
28,EV_bus_95_iter_28,95,A,1.3157895979296792,1,Overvoltage
29,EV_bus_95_iter_29,95,C,3.9010728711829823,1,Overvoltage
30,EV_bus_95_iter_30,95,C,3.88577608601572,1,Overvoltage
31,EV_bus_95_iter_31,95,A,3.0356176574828093,1,Overvoltage
32,EV_bus_95_iter_32,95,A,4.122218373353238,1,Overvoltage
33,EV_bus_95_iter_33,95,C,1.067408721662059,1,Overvoltage
34,EV_bus_95_iter_34,95,C,2.627801368969399,1,Overvoltage
35,EV_bus_95_iter_35,95,C,1.3208882408000457,1,Overvoltage
36,EV_bus_95_iter_36,95,A,2.6898572516099546,1,Overvoltage
37,EV_bus_95_iter_37,95,A,3.6053106271343958,1,Overvoltage
38,EV_bus_95_iter_38,95,A,4.153694034438185,1,Overvoltage
39,EV_bus_95_iter_39,95,B,1.5167419084075178,1,Overvoltage
40,EV_bus_95_iter_40,95,C,2.8685617869231645,1,Overvoltage
41,EV_bus_95_iter_41,95,B,2.7385121597783324,1,Overvoltage
42,EV_bus_95_iter_42,95,B,2.034378567663698,1,Overvoltage
43,EV_bus_95_iter_43,95,B,3.7932923984507445,1,Overvoltage
44,EV_bus_95_iter_44,95,C,4.100300901245937,1,Overvoltage
45,EV_bus_95_iter_45,95,C,1.2157442727046548,1,Overvoltage
46,EV_bus_95_iter_46,95,A,4.60924686490002,1,Overvoltage
47,EV_bus_95_iter_47,95,B,3.2937525862556574,1,Overvoltage
48,EV_bus_95_iter_48,95,C,4.4984777277630865,1,Overvoltage
49,EV_bus_95_iter_49,95,B,2.1254216256625074,1,Overvoltage
50,EV_bus_96_iter_0,96,A,4.617395655875269,1,Overvoltage
51,EV_bus_96_iter_1,96,A,3.3329315354538185,1,Overvoltage
52,EV_bus_96_iter_2,96,C,2.198365000490633,1,Overvoltage
53,EV_bus_96_iter_3,96,B,4.4420362578821955,1,Overvoltage
54,EV_bus_96_iter_4,96,B,1.7280695320290396,1,Overvoltage
55,EV_bus_96_iter_5,96,C,2.8881908992751364,1,Overvoltage
56,EV_bus_96_iter_6,96,C,1.8166638428989303,1,Overvoltage
57,EV_bus_96_iter_7,96,C,2.24806897214949,1,Overvoltage
58,EV_bus_96_iter_8,96,A,4.30867202687336,1,Overvoltage
59,EV_bus_96_iter_9,96,B,1.4085288916908456,1,Overvoltage
