time,LOAD1,LOAD2,LOAD3,LOAD4,LOAD5,LOAD6,LOAD7,LOAD8,LOAD9,LOAD10,LOAD11,LOAD12,LOAD13,LOAD14,LOAD15,LOAD16,LOAD17,LOAD18,LOAD19,LOAD20,LOAD21,LOAD22,LOAD23,LOAD24,LOAD25,LOAD26,LOAD27,LOAD28,LOAD29,LOAD30,LOAD31,LOAD32,LOAD33,LOAD34,LOAD35,LOAD36,LOAD37,LOAD38,LOAD39,LOAD40,LOAD41,LOAD42,LOAD43,LOAD44,LOAD45,LOAD46,LOAD47,LOAD48,LOAD49,LOAD50,LOAD51,LOAD52,LOAD53,LOAD54,LOAD55
00:01:00,3.6e-05,4.4e-05,5.4e-05,4.8e-05,3.5000000000000004e-05,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,8.7e-05,4.8e-05,4.9000000000000005e-05,5.3e-05,5.1e-05,4.4999999999999996e-05,5.4e-05,5.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,2.8e-05,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,4.2999999999999995e-05,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,5.4e-05,5e-05,2.9000000000000004e-05,5.3e-05,6.2e-05,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,4.8e-05,5.5e-05
00:02:00,3.6e-05,4.4e-05,5.4e-05,4.8e-05,3.5000000000000004e-05,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,6.4e-05,4.8e-05,4.9000000000000005e-05,5.3e-05,5.1e-05,4.4999999999999996e-05,5.4e-05,8.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,2.8e-05,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,4.2999999999999995e-05,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,5.4e-05,5e-05,2.9000000000000004e-05,5.3e-05,6.2e-05,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,4.8e-05,5.5e-05
00:03:00,3.6e-05,4.4e-05,5.4e-05,4.8e-05,3.5000000000000004e-05,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,0.000164,4.8e-05,4.9000000000000005e-05,5.3e-05,5.1e-05,4.4999999999999996e-05,5.4e-05,8.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,2.8e-05,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,4.2999999999999995e-05,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,5.4e-05,5e-05,2.9000000000000004e-05,5.3e-05,0.000122,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,5.7e-05,5.5e-05
00:04:00,3.6e-05,4.4e-05,5.4e-05,0.00022700000000000002,3.5000000000000004e-05,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,0.000307,4.8e-05,4.9000000000000005e-05,5.3e-05,5.1e-05,4.4999999999999996e-05,5.4e-05,8.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,2.8e-05,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,4.2999999999999995e-05,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,8.400000000000001e-05,5e-05,2.9000000000000004e-05,5.3e-05,0.000162,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,4.8e-05,5.5e-05
00:05:00,3.6e-05,4.4e-05,5.4e-05,0.00022700000000000002,3.5000000000000004e-05,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,0.000307,4.8e-05,4.9000000000000005e-05,0.000235,5.1e-05,4.4999999999999996e-05,5.4e-05,8.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,2.8e-05,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,4.2999999999999995e-05,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,0.000184,5e-05,2.9000000000000004e-05,0.00011300000000000001,0.000222,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,4.8e-05,5.5e-05
00:06:00,3.6e-05,4.4e-05,5.4e-05,0.00022700000000000002,3.5000000000000004e-05,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,0.000307,4.8e-05,4.9000000000000005e-05,0.000235,5.1e-05,4.4999999999999996e-05,5.4e-05,8.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,2.8e-05,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,0.000161,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,0.000224,5e-05,2.9000000000000004e-05,0.00011300000000000001,0.000162,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,4.8e-05,5.5e-05
00:07:00,3.6e-05,4.4e-05,5.4e-05,0.00022700000000000002,0.000147,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,0.000307,4.8e-05,4.9000000000000005e-05,0.000235,5.1e-05,4.4999999999999996e-05,5.4e-05,8.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,7.8e-05,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,0.000161,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,0.000224,5e-05,2.9000000000000004e-05,0.00011300000000000001,0.000162,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,4.8e-05,5.5e-05
00:08:00,3.6e-05,4.4e-05,5.4e-05,0.00022700000000000002,0.000147,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,0.000342,4.8e-05,4.9000000000000005e-05,0.000235,5.1e-05,4.4999999999999996e-05,5.4e-05,8.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,0.00013800000000000002,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,0.000161,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,0.000237,5e-05,2.9000000000000004e-05,0.00011300000000000001,0.000162,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,0.000148,5.5e-05
00:09:00,3.6e-05,4.4e-05,5.4e-05,0.00022700000000000002,0.000147,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,0.000342,4.8e-05,4.9000000000000005e-05,0.000235,5.1e-05,4.4999999999999996e-05,5.4e-05,8.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,0.00029,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,0.000161,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,0.000237,5e-05,2.9000000000000004e-05,0.00011300000000000001,0.000162,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,0.000148,5.5e-05
00:10:00,3.6e-05,4.4e-05,5.4e-05,0.00022700000000000002,0.000279,5.2e-05,5.5e-05,4.2999999999999995e-05,5.9e-05,5.7e-05,4.9000000000000005e-05,9.2e-05,5.6e-05,4.9000000000000005e-05,5.3e-05,0.000207,4.8e-05,4.9000000000000005e-05,0.000235,5.1e-05,4.4999999999999996e-05,5.4e-05,8.5e-05,5.4e-05,5e-05,3.4000000000000007e-05,5.1e-05,0.00029,5.4e-05,5.3e-05,5.3e-05,5.6e-05,5.7e-05,4.4999999999999996e-05,0.000161,5.5e-05,4.4999999999999996e-05,5.2e-05,4.8e-05,4.2999999999999995e-05,5.2e-05,0.000237,5e-05,2.9000000000000004e-05,0.00011300000000000001,0.000259,4.4999999999999996e-05,4.6e-05,5.4e-05,5.2e-05,5.3e-05,5.2e-05,4.7000000000000004e-05,0.002331,5.5e-05
